Ano,Mês,UF,IMPOSTO SOBRE IMPORTAÇÃO,IMPOSTO SOBRE EXPORTAÇÃO,IPI - FUMO,IPI - BEBIDAS,IPI - AUTOMÓVEIS,IPI - VINCULADO À IMPORTACAO,IPI - OUTROS,IRPF,IRPJ - ENTIDADES FINANCEIRAS,IRPJ - DEMAIS EMPRESAS,IRRF - RENDIMENTOS DO TRABALHO,IRRF - RENDIMENTOS DO CAPITAL,IRRF - REMESSAS P/ EXTERIOR,IRRF - OUTROS RENDIMENTOS,IMPOSTO S/ OPERAÇÕES FINANCEIRAS,IMPOSTO TERRITORIAL RURAL,IMPOSTO PROVIS.S/ MOVIMENT. FINANC. - IPMF,CPMF,COFINS,COFINS - FINANCEIRAS,COFINS - DEMAIS,CONTRIBUIÇÃO PARA O PIS/PASEP,CONTRIBUIÇÃO PARA O PIS/PASEP - FINANCEIRAS,CONTRIBUIÇÃO PARA O PIS/PASEP - DEMAIS,CSLL,CSLL - FINANCEIRAS,CSLL - DEMAIS,CIDE-COMBUSTÍVEIS (parc. não dedutível),CIDE-COMBUSTÍVEIS,CONTRIBUIÇÃO PLANO SEG. SOC. SERVIDORES,CPSSS - Contrib. p/ o Plano de Segurid. Social Serv. Público,CONTRIBUICÕES PARA FUNDAF,REFIS,PAES,"RETENÇÃO NA FONTE - LEI 10.833, Art. 30",PAGAMENTO UNIFICADO,OUTRAS RECEITAS ADMINISTRADAS,DEMAIS RECEITAS,RECEITA PREVIDENCIÁRIA,RECEITA PREVIDENCIÁRIA - PRÓPRIA,RECEITA PREVIDENCIÁRIA - DEMAIS,ADMINISTRADAS POR OUTROS ÓRGÃOS
2000,Janeiro,MG,35549181.0,57.0,15511142,12111623,29305691,15049305,38667924,11038328,3416372,83378349,73410958,77963069,11600682,15573355,3835234,5262680,0.0,18475116,173737137,,,44074747,,,41904953,,,,,32234994,,1880050,,,,,1190058,,,,,
2000,Fevereiro,MG,28321797.0,13.0,14225672,8174782,45788926,13539275,49137262,9397799,3816282,48244571,56798033,14917715,6422417,16595106,3024860,227970,0.0,16523270,171139630,,,41489024,,,31129893,,,,,15615388,,1785305,,,,,977157,,,,,
2000,Março,MG,38897767.0,17.0,14151052,9249928,12681892,18303569,41330478,10072792,20748402,100933705,72605991,11622361,10429755,8044780,3473576,227038,0.0,21758830,185839612,,,41566113,,,65427645,,,,,24359495,,1672915,,,,,811247,,,,,
2000,Abril,MG,27821946.0,0.0,15715488,11453240,35308685,11187247,50343579,66396781,1905192,76322421,74338873,7891934,8387297,6519704,2964821,233650,0.0,13008186,187461244,,,43995095,,,54713452,,,,,20210939,,1783680,,,,,750843,,,,,
2000,Maio,MG,41614316.0,48.0,12955328,10809741,35149202,18966281,45153164,28124107,3517732,35551093,64166741,26885126,9624402,8453091,3806090,256293,0.0,16972081,201468756,,,47234945,,,30967341,,,,,20455064,,1589682,,,,,815290,,,,,
2000,Junho,MG,38743074.0,15.0,14286344,12394596,6605583,15913003,44877210,23166144,4788105,37947150,68961903,7578683,14976961,6968156,3421908,1954863,0.0,13116948,199278720,,,44116169,,,26668821,,,,,15089378,,1922182,,,,,1496713,,,,,
2000,Julho,MG,32598812.0,35.0,12901449,10946248,20133676,15831542,45573495,24167733,1796042,74472647,52466632,22118284,16894704,8095043,3700006,679441,0.0,11502369,186740092,,,42101996,,,46102850,,,,,15748295,,5351674,,,,,906852,,,,,
2000,Agosto,MG,43258844.0,35.0,13405544,10099581,57566642,20813519,51419164,22168283,1624492,67025611,56184698,6041828,7142992,8015140,4163394,757333,0.0,14049143,223147407,,,50521075,,,34562957,,,,,15073465,,8361954,,,,,1068899,,,,,
2000,Setembro,MG,41014108.0,2909.0,14823673,10741977,62458748,21827361,50514002,20222038,1778600,69115959,57205925,17543898,9674125,11557604,3483817,16656764,0.0,12081928,227409342,,,52452661,,,43526035,,,,,35936787,,9109763,,,,,1099584,,,,,
2000,Outubro,MG,39463981.0,152.0,14596919,12534998,55487434,18153319,46172445,10715640,1436175,112780335,53711625,7756128,11725073,7486482,3969209,2488837,0.0,34353113,221423299,,,53572532,,,76637599,,,,,23918886,,9300726,,,,,992969,,,,,
2000,Novembro,MG,40789804.0,259.0,13400584,8981676,65507761,20825714,50976416,10144657,1783936,52299886,63769552,19872435,16891902,15675895,4453940,11799490,0.0,25780949,233910806,,,55507685,,,37504403,,,,,27394053,,10812213,,,,,902665,,,,,
2000,Dezembro,MG,39608805.0,63619.0,13141105,12642606,78988970,23198741,59626141,11058476,1522031,58635564,118388409,17496312,9342071,10635473,4204722,1456494,0.0,14419406,239260680,,,54550347,,,44769170,,,,,42913994,,12559885,,,,,1054190,,,,,
2001,Janeiro,MG,37429056.0,230873.0,14034507,13578314,45971248,22404149,44778576,10113445,23781856,97703346,62032387,80275181,9992973,7687082,4750148,721339,0.0,15745022,235363566,,,58427575,,,72923130,,,,,24232548,,9679977,,,,,1757640,,,,,
2001,Fevereiro,MG,28888526.0,114850.0,14745863,14734354,36451624,15093577,54329583,7528143,6004997,92819590,57525722,8535984,14849432,7417355,3813585,350297,0.0,10101989,238686669,,,51717905,,,37257666,,,,,27523040,,11347722,,,,,3377139,,,,,
2001,Março,MG,46445947.0,234610.0,12026875,9051186,6846968,29429347,46921512,9007455,32612955,71189332,66219637,12771029,11401247,8281568,4932443,1257459,0.0,17072711,202123737,,,49099280,,,53190946,,,,,17288809,,8280588,,,,,1524510,,,,,
2001,Abril,MG,47156895.0,866748.0,13549724,11660043,51803180,37037102,61404212,80613082,1297360,94738522,66546313,12250546,12700805,7366883,4070775,1006252,0.0,15241254,246660689,,,56567897,,,59634642,,,,,22153740,,10034151,,,,,1333133,,,,,
2001,Maio,MG,42914682.0,587047.0,11771909,10750735,61587707,30858652,57268376,31873638,1475297,52445461,70033150,18016211,10272422,9102352,4323218,1860675,0.0,19805529,245878742,,,56570597,,,43225976,,,,,19445675,,9269664,,,,,1574230,,,,,
2001,Junho,MG,37986830.0,375125.0,13564704,9234755,60847143,20861487,54948202,27006999,1528944,60161165,67698212,18715728,14860324,9457640,4548370,670259,0.0,16820049,240654769,,,58745988,,,38640425,,,,,23568605,,11142665,,,,,1278360,,,,,
2001,Julho,MG,49965643.0,339405.0,12666454,10367679,51825810,28235703,58937559,26477791,1623015,98478718,75971102,33338536,8339256,8328628,4336105,596163,0.0,16164601,293393330,,,53829564,,,65507827,,,,,23019376,,8394092,,,,,49579755,,,,,
2001,Agosto,MG,50195699.0,1281162.0,12315314,9514595,45444600,27126060,62752192,26042560,2345128,52735020,64959573,11472411,5859078,9953104,5180663,827250,0.0,19636271,238570131,,,59023526,,,37141521,,,,,20797104,,9067409,,,,,1596310,,,,,
2001,Setembro,MG,39780700.0,577207.0,13599258,8858488,48946402,17950120,61878715,23303928,1616775,60809209,67448187,8009792,14827775,8164352,4552769,12773165,0.0,16164572,258507136,,,55847054,,,37231310,,,,,15685187,,10307204,,,,,1244758,,,,,
2001,Outubro,MG,45597167.0,393120.0,12529788,9671865,39062665,24773024,64509545,11566520,2004479,92945640,68617519,13649278,12991069,10346642,5362501,2563222,0.0,21472612,221690381,,,52328798,,,63765202,,,,,18352312,,9200917,,,,,1822583,,,,,
2001,Novembro,MG,33731414.0,242490.0,11969380,9347385,53613632,15839749,61180507,10852794,1791627,56389817,68448666,9669068,9218728,8981225,4418159,2099386,0.0,15247104,262624883,,,52240991,,,40146061,,,,,39483266,,8637195,,,,,3188486,,,,,
2001,Dezembro,MG,26904966.0,405041.0,12576683,11997061,83957529,11037007,62843074,13079782,1678508,54565479,140486521,33294100,16145810,12973369,5322771,2158954,0.0,16513465,221509428,,,76846943,,,33317201,,,,,41988939,,14846424,,,,,1936066,,,,,
2002,Janeiro,MG,38739059.0,385113.0,"12,475,875","9,995,742","36,891,063","20,351,666","52,454,059","10,520,723","2,454,423","218,257,743","70,729,415","64,602,224","7,677,674","32,412,641","5,963,380","1,140,483",,"19,849,072","243,614,267",,,"81,600,005",,,"71,366,180",,,,,"27,426,934",,"14,637,070",,,,,"1,699,797",,,,,
2002,Fevereiro,MG,26771843.0,321137.0,"12,547,103","11,002,923","36,946,370","13,687,745","58,678,138","8,684,928","2,056,407","132,825,412","60,474,545","11,518,339","22,466,086","10,000,336","5,077,600","1,138,981",,"15,125,950","204,236,308",,,"45,663,639",,,"32,904,130",,,,,"27,079,497",,"10,271,032",,,,,"2,070,988",,,,,
2002,Março,MG,30771451.0,344264.0,"10,544,789","8,332,951","44,566,339","17,146,998","59,573,739","10,087,546","36,477,134","169,956,494","67,245,909","11,424,098","10,119,488","8,566,748","5,951,789","649,233",,"16,207,253","215,571,185",,,"51,821,082",,,"56,022,950",,,,,"25,467,783",,"10,179,643",,,,,"2,005,093",,,,,
2002,Abril,MG,32183857.0,388309.0,"12,195,490","11,362,366","66,886,334","17,739,542","62,326,271","84,499,788","3,536,772","327,234,237","69,653,686","12,722,104","9,710,106","9,322,927","7,610,633","672,797",,"16,489,814","249,062,148",,,"58,508,858",,,"64,124,899",,,,,"19,082,462",,"6,340,282",,,,,"3,131,206",,,,,
2002,Maio,MG,32491090.0,191722.0,"11,069,896","10,661,289","62,905,142","14,750,437","58,528,736","33,760,786","3,121,568","89,855,968","76,234,983","15,533,122","22,998,315","15,744,155","6,542,786","760,415",,"18,400,253","256,290,053",,,"58,923,930",,,"59,881,576",,,,,"26,206,478",,"9,296,185",,,,,"5,033,501",,,,,
2002,Junho,MG,34522901.0,148847.0,"12,030,280","9,631,123","64,099,578","16,238,296","59,745,449","27,364,374","2,030,427","67,244,474","64,786,218","20,406,166","21,173,576","8,433,434","5,515,949","790,36",,"14,556,222","276,925,988",,,"66,084,813",,,"29,693,236",,,,,"26,858,314",,"7,524,627",,,,,"3,038,277",,,,,
2002,Julho,MG,47667764.0,297812.0,"10,769,994","6,675,896","39,550,001","26,210,420","51,099,918","25,974,866","4,585,009","167,419,091","70,764,392","11,948,206","9,812,679","10,341,155","5,160,963","749,238",,"23,959,427","237,127,296",,,"74,474,665",,,"83,052,547",,,,,"23,006,692",,"9,775,546",,,,,"5,113,847",,,,,
2002,Agosto,MG,44755322.0,144444.0,"11,504,196","7,678,425","54,783,445","20,768,020","53,198,271","26,746,376","3,327,459","63,164,413","69,283,025","17,348,229","6,342,309","9,136,828","5,803,086","1,120,720",,"17,744,430","290,372,618",,,"77,057,043",,,"48,483,392",,,,,"27,157,352",,"7,803,515",,,,,"4,462,644",,,,,
2002,Setembro,MG,38267521.0,40698.0,"12,168,922","9,015,154","59,722,016","17,399,501","67,140,994","26,037,674","849,575","89,698,233","62,672,196","11,957,888","15,104,850","11,220,739","5,126,846","13,227,543",,"17,763,004","314,689,320",,,"92,441,021",,,"56,458,491",,,,,"19,094,201",,"8,784,476",,,,,"2,953,997",,,,,
2002,Outubro,MG,48807013.0,273716.0,"9,952,564","9,989,603","59,402,897","19,236,162","70,120,217","13,135,948","5,595,967","108,344,924","74,461,476","18,469,974","16,592,289","10,487,621","6,041,407","2,505,804",,"20,997,671","329,776,938",,,"82,774,878",,,"76,979,656",,,,,0,,"7,431,684",,,,,"4,045,347",,,,,
2002,Novembro,MG,40105921.0,169.76,"11,551,986","9,140,176","52,150,048","22,151,113","66,007,069","13,097,120","2,186,172","95,649,249","73,061,418","17,914,268","11,819,953","8,745,267","5,419,237","2,133,562",,"43,217,914","392,009,562",,,"78,983,118",,,"71,774,658",,,,,0,,"6,090,260",,,,,"4,546,181",,,,,
2002,Dezembro,MG,36791422.0,221882.0,"12,811,067","11,961,653","148,212,106","19,151,871","69,374,487","13,978,914","4,559,738","72,337,240","135,558,084","23,981,863","21,094,997","10,714,124","5,914,774","1,999,109",,"18,880,014","375,678,468",,,"95,359,167",,,"50,124,279",,,,,"44,293,950",,"8,303,142",,,,,"4,337,453",,,,,
2003,Janeiro,MG,45106814.0,210881.0,10420398,10997713,9787727,22804219,49134489,15531535,7189708,201157507,81912071,46366161,33033892,9554676,5592551,1063758,,22564582,314258754,,,102208189,,,90809487,,,,,32951396,,9443345,,,,,3812941,,,,,
2003,Fevereiro,MG,38669963.0,138725.0,12524251,10178035,60591229,15831736,62101700,9233657,6648619,83945101,69824681,13914588,10125439,8788629,6255219,745092,,16168859,278285746,,,84585588,,,55744850,,,,,24451288,,7575343,,,,,4646323,,,,,
2003,Março,MG,42146356.0,125533.0,11173924,10299381,48216776,20581455,52275062,10411838,33558048,105391970,73598235,14318628,12737031,10632774,5725430,474017,,16061838,297827925,,,82612502,,,74424921,,,,,21013002,,6483524,,,,,2936197,,,,,
2003,Abril,MG,34750344.0,56485.0,10529505,7798966,84198018,18528657,63322490,93164629,6955548,197107254,95533409,18853963,11230735,9950248,8265700,1613724,,20028028,290705528,,,78932426,,,101802040,,,,,22019464,,6722026,,,,,2462880,,,,,
2003,Maio,MG,32891760.0,35981.0,11572039,9188259,56013012,15480761,61189473,37244582,3883201,120272630,87119294,14093963,11250107,9100546,7061274,707950,,17918690,305145653,,,89583311,,,82179894,,,,,27606441,,7920632,,,,,4046123,,,,,
2003,Junho,MG,30022283.0,25359.0,12393466,12637554,35843285,13809881,74455843,30711501,5011636,122293239,84298757,15992252,10995851,9630359,6756563,5333697,,15886087,311523139,,,85800715,,,66629414,,,,,26051756,,7313138,,,,,2548652,,,,,
2003,Julho,MG,34631728.0,2704394.0,10218933,6368663,38948453,15752621,57855388,28065763,6085002,175769705,93806045,31777950,13369418,16811127,8817071,2712491,,34965972,305455796,,,121584944,,,103578320,,,,,25354069,,9767244,,,,,3286170,,,,,
2003,Agosto,MG,31179441.0,51245.0,12549225,8858219,29632065,15544130,53535911,29470202,3764899,111471943,79750246,29787177,6331996,9666305,7700775,1039837,,18106824,320314521,,,90480630,,,65624904,,,,,21790796,,7794026,,,,,4233361,,,,,
2003,Setembro,MG,34560196.0,1965186.0,12423391,9844955,32432422,16926926,62009626,26900426,6105684,130452341,88827767,19259780,13998244,9845761,8326615,14893092,,17785881,332136115,,,92383271,,,71743304,,,,,23537519,,7342879,,,,,4039855,,,,,
2003,Outubro,MG,36471584.0,957065.0,11913420,9028022,32321731,19578483,55562803,13913638,6139007,185994787,88583605,20328711,11750703,12646948,9388919,3855130,,20668498,446552030,,,82916804,,,117342569,,,,,26854059,,6345576,,,,,3547162,,,,,
2003,Novembro,MG,34817477.0,83276.0,14858271,9726688,44470730,16802832,64231594,13971640,4707197,152512233,84686734,24210087,28116088,12182277,7535337,2771971,,17052066,347836949,,,96585446,,,90177549,,,,,27906850,,7070789,,,,,15845877,,,,,
2003,Dezembro,MG,33098768.0,149785.0,13294940,13333757,45406973,18125223,64175672,14563829,6932922,101334182,185047229,37445960,40962127,15562609,8278672,1792072,,20950182,331626802,,,93455552,,,71922371,,,,,39034900,,6182809,,,,,3623809,,,,,
2004,Janeiro,MG,11637686.0,28.0,12939013,10461191,26077041,7431862,40594132,13604146,9626402,217267200,111713461,84295685,32643673,10236942,8222475,1265571,,18200776,,7186100,370727977,,1328356,111299468,,2137211,202822550,204333,,,,7248547,6726891.0,18669807.0,,,7083515,30694140,,,,
2004,Fevereiro,MG,9884892.0,17.0,21273135,10819607,29831758,6079634,51994210,11513713,16068477,107537048,103866757,15682827,9951791,13240660,8514487,974515,,17880536,,4471958,319576335,,811090,102463145,,3808447,72989095,108292,,,,7373614,5112271.0,18124933.0,,,6494566,29048501,,,,
2004,Março,MG,15019200.0,514026.0,9237187,8231480,37280495,10948499,66184112,15750353,34330341,235833089,114717518,17229098,9406108,12018719,9588149,987960,,22028482,,4603674,325114984,,615349,97417438,,15011519,114283380,122494,,,,6510212,5373924.0,17965383.0,20367872.0,,3697599,30541015,,,,
2004,Abril,MG,13690913.0,-77.0,14794039,9479249,70937186,12669237,50138284,117346262,8297651,207695121,111291123,25427457,11435654,11108351,8841744,709078,,17799532,,4803167,296865356,,632702,77376647,,984455,120685947,109083,,,,8251031,5771862.0,17773314.0,17954307.0,,11888315,30449906,,,,
2004,Maio,MG,12422696.0,-39.0,12375596,11044263,62675195,7034278,63513489,44733345,7337309,127903452,110976937,16233147,9834097,11328324,9739710,994870,,19126141,,5061168,374025938,,668572,103882090,,1057920,95875781,81861,,,,5998871,6332828.0,17476333.0,19904489.0,,4702077,31695019,,,,
2004,Junho,MG,17915907.0,-198.0,14630886,11211381,48689087,11743487,84966915,40386697,4549339,188770647,104530467,23446928,30368225,12818773,11213497,1143351,,21979741,,4690331,371060858,,716931,90183160,,1001145,98553462,0,,,,6559084,6255368.0,18375696.0,24286884.0,,3807201,26993535,,,,
2004,Julho,MG,16606478.0,-374.0,15577802,9493593,56210277,9747407,85205134,34251624,10158200,288902549,110654214,17781940,17715313,12130252,10795150,1325321,,19490002,,6064204,355466998,,3042258,89784441,,1845138,153342880,0,,,,5833862,5951841.0,18214361.0,21641548.0,,7768783,41895924,,,,
